external_gene_name	Description_Ensembl	UniprotAcc
BnaA04g07490D		NA
BnaA04g09490D		NA
BnaA04g08640D		NA
BnaA04g08560D		NA
BnaA04g09210D		NA
BnaA04g08360D		NA
BnaA04g08370D		NA
BnaA04g07940D		NA
BnaA04g08170D		NA
BnaA04g09530D		NA
BnaA04g09580D		NA
BnaA04g09020D		NA
BnaA04g08660D		NA
BnaA04g07590D		NA
BnaA04g08430D		NA
BnaA04g09700D		NA
BnaA04g09320D		NA
BnaA04g08160D	Glutamine synthetase	Q42623
BnaA04g07470D		NA
BnaA04g08190D		NA
BnaA04g09070D		NA
BnaA04g09180D		NA
BnaA04g08030D		NA
BnaA04g07800D		NA
BnaA04g09790D		NA
BnaA04g09750D		NA
BnaA04g07720D		NA
BnaA04g08080D		NA
BnaA04g07810D		NA
BnaA04g08270D		NA
BnaA04g08050D		NA
BnaA04g08020D		NA
BnaA04g09150D		NA
BnaA04g08910D		NA
BnaA04g08820D		NA
BnaA04g07950D		NA
BnaA04g09230D		NA
BnaA04g08290D		NA
BnaA04g08300D		NA
BnaA04g08830D		NA
BnaA04g07910D		NA
BnaA04g08620D		NA
BnaA04g09250D		NA
BnaA04g07600D		NA
BnaA04g09650D		NA
BnaA01g34740D	BnaA01g34740D protein	A0A078JQJ6
BnaC07g48430D	BnaC07g48430D protein	A0A078IUF4
BnaC07g48420D	BnaC07g48420D protein	A0A078IVS8
BnaCnng62620D	Cysteine synthase	A0A078JQZ5
BnaCnng77170D	S-acyltransferase (Fragment)	A0A078K3K2
BnaCnng23550D	BnaCnng23550D protein	A0A078ISK4
BnaCnng23530D	BnaCnng23530D protein	A0A078ITQ0
BnaCnng23560D	BnaCnng23560D protein	A0A078IS71
BnaCnng23540D	BnaCnng23540D protein	A0A078IP41
BnaCnng27030D	BnaCnng27030D protein	A0A078ITJ7
BnaCnng27060D	BnaCnng27060D protein	A0A078IZA7
BnaCnng27010D	BnaCnng27010D protein	A0A078IZA2
BnaCnng27050D	BnaCnng27050D protein	A0A078IWS7
BnaCnng27020D	BnaCnng27020D protein	A0A078IYS5
BnaCnng27040D	BnaCnng27040D protein	A0A078IWU9
BnaA05g37460D	BnaA05g37460D protein	A0A078JNR8
BnaA05g37480D	BnaA05g37480D protein	A0A078JRR1
BnaA05g37470D	BnaA05g37470D protein	A0A078JR16
BnaCnng76200D	BnaCnng76200D protein (Fragment)	A0A078K2V6
BnaCnng73510D	BnaCnng73510D protein (Fragment)	A0A078JVG4
BnaCnng74370D	BnaCnng74370D protein (Fragment)	A0A078JZJ8
BnaAnng27470D	BnaAnng27470D protein	A0A078JLV6
BnaA04g28430D	BnaA04g28430D protein	A0A078JMH1
BnaA04g28440D	BnaA04g28440D protein	A0A078JUQ2
BnaAnng35340D	BnaAnng35340D protein	A0A078JWT4
BnaUnng05080D	BnaUnng05080D protein	A0A078K0C4
BnaC03g75020D	BnaC03g75020D protein	A0A078JFA0
BnaUnng04470D	BnaUnng04470D protein	A0A078JYV1
BnaCnng60710D	BnaCnng60710D protein	A0A078JT76
BnaCnng73880D	Nucleoside diphosphate kinase	A0A078JYA4
BnaA10g28320D	BnaA10g28320D protein	A0A078HUK1
BnaA10g28400D	BnaA10g28400D protein	A0A078IJZ1
BnaA10g28370D	BnaA10g28370D protein	A0A078IMP3
BnaA10g28380D	BnaA10g28380D protein	A0A078ILR4
BnaA10g28340D	BnaA10g28340D protein	A0A078IH79
BnaA10g28390D	BnaA10g28390D protein	A0A078IH84
BnaA10g28350D	BnaA10g28350D protein	A0A078IJY4
BnaA10g28330D	BnaA10g28330D protein	A0A078ILR0
BnaA10g28410D	BnaA10g28410D protein	A0A078IK70
BnaA10g28360D	BnaA10g28360D protein	A0A078IK66
BnaCnng75970D	BnaCnng75970D protein	A0A078K096
BnaC06g42530D	BnaC06g42530D protein	A0A078IKM5
BnaC06g42520D	Reticulon-like protein	A0A078IQC9
BnaC06g42500D	BnaC06g42500D protein	A0A078INS1
BnaC06g42480D	BnaC06g42480D protein	A0A078IKM0
BnaC06g42510D	BnaC06g42510D protein	A0A078IR70
BnaC06g42490D	BnaC06g42490D protein	A0A078INQ7
BnaC02g31730D		NA
BnaC02g32580D		NA
BnaC02g31490D		NA
BnaC02g31790D		NA
BnaC02g32000D		NA
BnaC02g32720D		NA
BnaC02g31750D	BnaA02g24040D protein	A0A078DH63
BnaC02g32660D		NA
BnaC02g31540D		NA
BnaC02g32470D		NA
BnaC02g32820D		NA
BnaC02g31970D		NA
BnaC02g32830D		NA
BnaC02g31530D		NA
BnaC02g32800D		NA
BnaC02g32400D		NA
BnaC02g32360D		NA
BnaC02g32380D		NA
BnaC02g32640D		NA
BnaC02g31960D		NA
BnaC02g32170D		NA
BnaC02g31770D		NA
BnaC02g32810D		NA
BnaC02g31980D		NA
BnaC02g31570D		NA
BnaC02g32120D		NA
BnaC02g31520D		NA
BnaC02g32010D		NA
BnaC02g32300D		NA
BnaC02g32370D		NA
BnaC02g32770D		NA
BnaC02g32290D		NA
BnaC02g32240D		NA
BnaC02g32560D		NA
BnaC02g32690D		NA
BnaC02g31500D		NA
BnaC02g32410D		NA
BnaC02g31650D		NA
BnaC02g32630D		NA
BnaC02g32020D		NA
BnaC02g31580D	BnaA08g20350D protein	A0A078HXF4
BnaC02g31910D		NA
BnaC02g32420D		NA
BnaC02g32670D		NA
BnaC02g32180D		NA
BnaC02g31480D		NA
BnaC02g32060D		NA
BnaC02g32070D		NA
BnaC02g32700D		NA
BnaC02g32530D		NA
BnaC02g32460D		NA
BnaC02g32440D		NA
BnaC02g31510D		NA
BnaC02g32260D		NA
BnaC02g31740D		NA
BnaC02g31590D		NA
BnaC02g32610D		NA
BnaC02g31850D		NA
BnaC02g32160D		NA
BnaC02g31840D		NA
BnaC02g32340D		NA
BnaC02g31900D		NA
BnaC02g32040D		NA
BnaC02g32110D		NA
BnaC02g32310D		NA
BnaC02g32480D		NA
BnaC02g31680D	BnaC03g64600D protein	A0A078DEU6
BnaC02g31690D		NA
BnaC02g32790D		NA
BnaC02g32280D		NA
BnaC02g32550D		NA
BnaC02g32130D		NA
BnaC02g31950D		NA
BnaC02g31470D		NA
BnaC02g32390D		NA
BnaC02g31820D		NA
BnaC02g32840D		NA
BnaC02g32100D		NA
BnaC02g32230D		NA
BnaC02g32030D		NA
BnaC02g31940D		NA
BnaC02g32090D		NA
BnaC02g31990D		NA
BnaC02g31600D		NA
BnaC02g31640D		NA
BnaC02g32320D		NA
BnaC02g32150D		NA
BnaC02g31760D		NA
BnaC02g32650D		NA
BnaC02g32140D		NA
BnaC02g31930D		NA
BnaC02g32250D		NA
BnaC02g32430D		NA
BnaC02g32570D		NA
BnaC02g31860D		NA
BnaC02g32210D		NA
BnaC02g31660D		NA
BnaC02g32490D		NA
BnaC02g32540D		NA
BnaC02g31780D		NA
BnaC02g32600D		NA
BnaC02g31630D	BnaC09g14240D protein	A0A078I7T4
BnaC02g31560D		NA
BnaC02g32200D		NA
BnaC02g32190D		NA
BnaC02g31670D		NA
BnaC02g32220D		NA
BnaC02g31700D		NA
BnaC02g32750D		NA
BnaC02g32710D		NA
BnaC02g31620D		NA
BnaC02g32760D		NA
BnaC02g31890D		NA
BnaC02g32510D		NA
BnaC02g31870D		NA
BnaC02g32520D		NA
BnaC02g32740D		NA
BnaC02g32680D		NA
BnaC02g32500D		NA
BnaC02g32330D		NA
BnaC02g32080D		NA
BnaC02g32620D		NA
BnaC02g31610D	BnaA03g51350D protein	A0A078DKM0
BnaC02g31830D		NA
BnaC02g31710D		NA
BnaC02g31550D		NA
BnaC02g31720D	BnaUnng01530D protein	A0A078JLA2
BnaC02g32050D		NA
BnaC02g31920D		NA
BnaC02g32590D		NA
BnaC02g32450D		NA
BnaC02g32780D		NA
BnaC02g31810D		NA
BnaC02g32270D		NA
BnaC02g31880D		NA
BnaC02g32350D		NA
BnaC02g32730D		NA
BnaC02g31800D		NA
BnaCnng67540D	BnaCnng67540D protein (Fragment)	A0A078JU30
BnaCnng78380D	BnaCnng78380D protein	A0A078K485
BnaCnng42030D	Trehalose 6-phosphate phosphatase	A0A078JEU8
BnaCnng72750D	BnaCnng72750D protein	A0A078K0H3
BnaCnng72760D	BnaCnng72760D protein	A0A078JV10
BnaAnng39740D	BnaAnng39740D protein	A0A078K2A2
BnaCnng50120D	BnaCnng50120D protein	A0A078JHT4
BnaC06g04800D	BnaC06g04800D protein	A0A078HAK8
BnaC06g04790D	BnaC06g04790D protein	A0A078H8Q7
BnaC06g04760D	BnaC06g04760D protein	A0A078H8L1
BnaC06g05090D	Auxin-responsive protein	A0A078H8M8
BnaC06g05080D	BnaC06g05080D protein	A0A078H5H6
BnaC06g04750D	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B	A0A078HAL3
BnaC06g04820D	BnaC06g04820D protein	A0A078H7N3
BnaC06g04850D	BnaC06g04850D protein	A0A078HAK3
BnaC06g05060D	BnaC06g05060D protein	A0A078H8I6
BnaC06g05020D	BnaC06g05020D protein	A0A078H7L5
BnaC06g05100D	BnaC06g05100D protein	A0A078HAI2
BnaC06g04910D	BnaC06g04910D protein	A0A078H8J9
BnaC06g04780D	BnaC06g04780D protein	A0A078H5L8
BnaC06g05110D	BnaC06g05110D protein	A0A078H8I1
BnaC06g04730D	BnaC06g04730D protein	A0A078H5M4
BnaC06g05040D	BnaC06g05040D protein	A0A078H8N3
BnaC06g04900D	BnaC06g04900D protein	A0A078HAJ9
BnaC06g05030D	BnaC06g05030D protein	A0A078H5I2
BnaC06g04930D	BnaC06g04930D protein	A0A078H5J7
BnaC06g04880D	BnaC06g04880D protein	A0A078H5K2
BnaC06g04740D	BnaC06g04740D protein	A0A078H8R2
BnaC06g04860D	BnaC06g04860D protein	A0A078H8K3
BnaC06g04960D	BnaC06g04960D protein	A0A078H8J4
BnaC06g05000D	BnaC06g05000D protein	A0A078HAJ0
BnaC06g04980D	BnaC06g04980D protein	A0A078H5I9
BnaC06g05010D	BnaC06g05010D protein	A0A078H8I8
BnaC06g04830D	BnaC06g04830D protein	A0A078H5L0
BnaC06g04940D	BnaC06g04940D protein	A0A078H8P0
BnaC06g04720D	BnaC06g04720D protein	A0A078H7P4
BnaC06g04810D	BnaC06g04810D protein	A0A078H8K7
BnaC06g04970D	BnaC06g04970D protein	A0A078H7M0
BnaC06g04840D	ATP-dependent DNA helicase	A0A078H8Q1
BnaC06g04870D	BnaC06g04870D protein	A0A078H7M9
BnaC06g04950D	BnaC06g04950D protein	A0A078HAJ4
BnaC06g04920D	BnaC06g04920D protein	A0A078BXV8
BnaC06g04770D	BnaC06g04770D protein	A0A078H7P0
BnaC06g05070D	BnaC06g05070D protein	A0A078DU36
BnaC06g04990D	BnaC06g04990D protein	A0A078H8N6
BnaC06g04890D	BnaC06g04890D protein	A0A078H8P5
BnaC06g05050D	BnaC06g05050D protein	A0A078HAI6
BnaC08g46740D	BnaC08g46740D protein	A0A078JPD6
BnaCnng77100D	BnaCnng77100D protein	A0A078K075
BnaUnng05130D	BnaUnng05130D protein (Fragment)	A0A078K0G3
BnaC01g41520D	BnaC01g41520D protein	A0A078J0N9
BnaC01g41540D	BnaC01g41540D protein	A0A078J2X4
BnaC01g41550D	BnaC01g41550D protein	A0A078IXE5
BnaC01g41530D	BnaC01g41530D protein	A0A078J2T9
BnaCnng50810D	BnaCnng50810D protein	A0A078JM23
BnaCnng50800D	BnaCnng50800D protein	A0A078JKW2
BnaCnng50790D	BnaCnng50790D protein	A0A078JIZ2
BnaCnng50780D	BnaCnng50780D protein	A0A078JI97
BnaCnng50820D	BnaCnng50820D protein	A0A078JFQ1
BnaCnng57900D	Glutamine synthetase	A0A078JMZ9
BnaA03g57640D	BnaA03g57640D protein	A0A078JLS3
BnaA03g57620D	BnaA03g57620D protein (Fragment)	A0A078JII1
BnaA03g57630D	BnaA03g57630D protein	A0A078JKR3
BnaUnng04910D	BnaUnng04910D protein	A0A078JZR9
BnaCnng43540D	BnaCnng43540D protein	A0A078JA29
BnaAnng23340D	BnaAnng23340D protein	A0A078JKL3
BnaAnng23330D	BnaAnng23330D protein	A0A078JJQ2
BnaAnng23350D	Mitochondrial Rho GTPase	A0A078JMJ8
BnaAnng23320D	Protein YIPF	A0A078JH96
BnaCnng76820D	BnaCnng76820D protein (Fragment)	A0A078K310
BnaAnng27730D	Glutamine synthetase	A0A078JMZ9
BnaAnng18980D	BnaAnng18980D protein	A0A078JBL7
BnaAnng18990D	BnaAnng18990D protein (Fragment)	A0A078JC47
BnaAnng40500D	BnaAnng40500D protein	A0A078JXD0
BnaCnng76170D	BnaCnng76170D protein	A0A078K2U6
BnaCnng62310D	Proteasome assembly chaperone 2	A0A078JUL7
BnaC03g54010D	BnaC03g54010D protein	A0A078G919
BnaC03g53950D	BnaC03g53950D protein	A0A078G750
BnaC03g53900D	BnaC03g53900D protein	A0A078G756
BnaC03g53930D	BnaC03g53930D protein	A0A078G735
BnaC03g54040D	BnaC03g54040D protein	A0A078G410
BnaC03g53960D	BnaC03g53960D protein	A0A078G923
BnaC03g53920D	Fatty acyl-CoA reductase	A0A078G878
BnaC03g53990D	BnaC03g53990D protein	A0A078G418
BnaC03g53980D	BnaC03g53980D protein	A0A078G731
BnaC03g53870D	BnaC03g53870D protein	A0A078G882
BnaC03g54020D	BnaC03g54020D protein	A0A078G871
BnaC03g54060D	BnaC03g54060D protein	A0A078G914
BnaC03g53880D	BnaC03g53880D protein	A0A078G740
BnaC03g53910D	BnaC03g53910D protein	A0A078G927
BnaC03g53970D	BnaC03g53970D protein	A0A078G875
BnaC03g53940D	BnaC03g53940D protein	A0A078G424
BnaC03g54030D	BnaA06g19700D protein	A0A078G726
BnaC03g53890D	BnaC03g53890D protein	A0A078G429
BnaC03g54000D	Nicalin	A0A078G743
BnaC03g54050D	BnaC03g54050D protein	A0A078G739
BnaCnng72640D	BnaCnng72640D protein	A0A078JUZ5
BnaCnng72470D	BnaCnng72470D protein	A0A078JY74
BnaAnng28000D	BnaAnng28000D protein	A0A078JMD3
BnaCnng25140D	BnaCnng25140D protein	A0A078IVI1
BnaCnng25130D	BnaCnng25130D protein	A0A078IWQ6
BnaCnng25160D	BnaCnng25160D protein	A0A078IUB2
BnaCnng25150D	BnaCnng25150D protein	A0A078IQS4
BnaAnng36530D	BnaAnng36530D protein	A0A078JUH8
BnaAnng36520D	BnaAnng36520D protein	A0A078JZX8
BnaC09g32040D	BnaC09g32040D protein	A0A078I6D4
BnaC09g32100D	BnaC09g32100D protein	A0A078I949
BnaC09g32140D	BnaC09g32140D protein	A0A078I6E3
BnaC09g32050D	BnaC09g32050D protein	A0A078I943
BnaC09g32000D	BnaC09g32000D protein	A0A078I938
BnaC09g32010D	BnaC09g32010D protein	A0A078I8D2
BnaC09g32030D	BnaC09g32030D protein	A0A078I734
BnaC09g32020D	BnaC09g32020D protein	A0A078I4A9
BnaC09g32120D	BnaC09g32120D protein	A0A078I4B5
BnaC09g31980D	BnaC09g31980D protein	A0A078I730
BnaC09g32060D	BnaC09g32060D protein	A0A078I8D8
BnaC09g31960D	BnaC09g31960D protein	A0A078I8C7
BnaC09g31940D	BnaC09g31940D protein	A0A078I6C4
BnaC09g31970D	BnaC09g31970D protein	A0A078I4A5
BnaC09g32130D	BnaC09g32130D protein	A0A078I742
BnaC09g32070D	BnaC09g32070D protein	A0A078I4B1
BnaC09g31990D	BnaC09g31990D protein	A0A078I6C9
BnaC09g32090D	BnaC09g32090D protein	A0A078I6D9
BnaC09g32150D	BnaC09g32150D protein	A0A078I955
BnaC09g32110D	BnaC09g32110D protein	A0A078I8E3
BnaC09g32080D	BnaC09g32080D protein	A0A078I738
BnaC09g31950D	BnaC09g31950D protein	A0A078I935
BnaCnng58280D	BnaCnng58280D protein (Fragment)	A0A078JRJ5
BnaC06g43470D	BnaC06g43470D protein	A0A078ING2
BnaC06g43440D	S-acyltransferase	A0A078IR10
BnaC06g43430D	BnaC06g43430D protein	A0A078INJ6
BnaC06g43410D	BnaC06g43410D protein	A0A078IKC8
BnaC06g43400D	BnaC06g43400D protein	A0A078IQ29
BnaC06g43460D	BnaC06g43460D protein	A0A078IKD6
BnaC06g43420D	BnaC06g43420D protein	A0A078INF4
BnaC06g43480D	BnaC06g43480D protein	A0A078INK0
BnaC06g43450D	BnaC06g43450D protein	A0A078IQ35
BnaUnng03010D	BnaUnng03010D protein	A0A078JQW1
BnaCnng73150D	BnaCnng73150D protein	A0A078K130
BnaCnng64330D	BnaCnng64330D protein	A0A078JT33
BnaCnng71590D	BnaCnng71590D protein	A0A078JXI9
BnaCnng77280D	BnaCnng77280D protein (Fragment)	A0A078K389
BnaAnng29740D	BnaAnng29740D protein (Fragment)	A0A078JUH3
BnaA06g03330D	BnaA06g03330D protein	A0A078JE03
BnaA06g03310D	BnaA06g03310D protein	A0A078JAM5
BnaA06g03350D	BnaA06g03350D protein	A0A078JB41
BnaA06g03320D	BnaA06g03320D protein	A0A078J7V0
BnaA06g03370D	BnaA06g03370D protein	A0A078J7U4
BnaA06g03300D	BnaA06g03300D protein	A0A078JB45
BnaA06g03340D	BnaA06g03340D protein	A0A078JD90
BnaA06g03360D	BnaA06g03360D protein	A0A078JAL9
BnaC02g47980D	BnaC02g47980D protein (Fragment)	A0A078JZ47
BnaA09g03420D	BnaA09g03420D protein	A0A078IY80
BnaA09g03480D	BnaA09g03480D protein	A0A078J3V0
BnaA09g03540D	BnaA09g03540D protein	A0A078J3F8
BnaA09g03450D	BnaA09g03450D protein	A0A078EG30
BnaA09g03380D	BnaA09g03380D protein	A0A078J3W2
BnaA09g03470D	BnaA09g03470D protein	A0A078IY78
BnaA09g03510D	BnaA09g03510D protein	A0A078J1B6
BnaA09g03460D	BnaA09g03460D protein	A0A078J1C4
BnaA09g03410D	BnaA09g03410D protein	A0A078J1C9
BnaA09g03390D	BnaA09g03390D protein	A0A078J3G7
BnaA09g03500D	BnaA09g03500D protein	A0A078J1J2
BnaA09g03530D	BnaA09g03530D protein	A0A078J3U2
BnaA09g03400D	BnaA09g03400D protein	A0A078J1K5
BnaA09g03430D	BnaA09g03430D protein	A0A078J3V6
BnaA09g03440D	BnaA09g03440D protein	A0A078J3G3
BnaA09g03490D	BnaA09g03490D protein	A0A078J3G0
BnaA09g03520D	BnaA09g03520D protein	A0A078IY73
BnaCnng50540D	BnaCnng50540D protein	A0A078JIT1
BnaCnng50530D	BnaCnng50530D protein	A0A078JI55
BnaA06g38520D	BnaA06g13660D protein	A0A078K1X9
BnaAnng31380D	BnaAnng31380D protein	A0A078JTI1
BnaCnng66970D	BnaCnng66970D protein	A0A078JUM0
BnaCnng41840D	BnaCnng41840D protein	A0A078JEQ6
BnaC06g41490D	BnaC06g41490D protein	A0A078JCS0
BnaC06g41480D	BnaC06g41480D protein	A0A078JC60
BnaC06g41470D	BnaC06g41470D protein	A0A078JA49
BnaC06g41460D	BnaC06g41460D protein	A0A078J994
BnaC06g41450D	BnaC06g41450D protein	A0A078J6G2
BnaC06g41500D	BnaC06g41500D protein	A0A078J6G7
BnaCnng74830D	BnaCnng74830D protein	A0A078JYU6
BnaC04g54100D	BnaC04g54100D protein	A0A078IT60
BnaC04g54070D	BnaC04g54070D protein	A0A078IMB6
BnaC04g54050D	BnaA05g09570D protein	A0A078FWB8
BnaC04g54060D	BnaC04g54060D protein	A0A078IS04
BnaC04g54040D	BnaC04g54040D protein	A0A078IQM3
BnaC04g54110D	BnaC04g54110D protein	A0A078IS07
BnaC04g54030D	BnaC04g54030D protein	A0A078IQP7
BnaC04g54000D	BnaC04g54000D protein	A0A078IT51
BnaC04g54090D	BnaC04g54090D protein	A0A078IQM7
BnaC04g54010D	BnaC04g54000D protein	A0A078IT51
BnaC04g54080D	BnaC04g54080D protein	A0A078IQQ1
BnaC04g54020D	BnaC04g54020D protein	A0A078IMA9
BnaA03g48970D	BnaA03g48970D protein	A0A078GWG9
BnaA03g49190D	BnaA03g49190D protein	A0A078GZ75
BnaA03g49220D	BnaA03g49220D protein	A0A078GWJ1
BnaA03g49200D	BnaA03g49200D protein	A0A078GXQ2
BnaA03g48960D	BnaA03g48960D protein	A0A078GTP3
BnaA03g49290D	BnaA03g49290D protein	A0A078GZ82
BnaA03g48920D	BnaA03g48920D protein	A0A078GWG3
BnaA03g48680D	BnaA03g48680D protein	A0A078GXC9
BnaA03g48860D	BnaA03g48860D protein	A0A078GTN6
BnaA03g49230D	BnaA03g49230D protein	A0A078GXH6
BnaA03g48840D	BnaA03g48840D protein	A0A078GZ43
BnaA03g48630D	BnaA03g48630D protein	A0A078GXC2
BnaA03g49120D	BnaA03g49120D protein	A0A078GWI2
BnaA03g48600D	BnaA03g48600D protein	A0A078GXH5
BnaA03g48650D	BnaA03g48650D protein	A0A078GXI2
BnaA03g48990D	BnaA03g48990D protein	A0A078GZ58
BnaA03g48830D	BnaA03g48830D protein	A0A078GXE3
BnaA03g49060D	BnaA03g49060D protein	A0A078GTQ1
BnaA03g48660D	BnaA03g48660D protein	A0A078GTL8
BnaA03g48760D	BnaA03g48760D protein	A0A078GTM8
BnaA03g48590D	BnaA03g48590D protein	A0A078GZ22
BnaA03g48940D	BnaA03g48940D protein	A0A078GZ53
BnaA03g49130D	BnaA03g49130D protein	A0A078GXG9
BnaA03g48740D	BnaA03g48740D protein	A0A078GZ35
BnaA03g48770D	BnaA03g48770D protein	A0A078GWF0
BnaA03g48790D	BnaA03g48790D protein	A0A078GZ40
BnaA03g49180D	BnaA03g49180D protein	A0A078GXH2
BnaA03g48880D	BnaA03g48880D protein	A0A078GXE8
BnaA03g49040D	Diacylglycerol kinase	A0A078GZ62
BnaA03g49050D	BnaA03g49050D protein	A0A078GXN7
BnaA03g48730D	BnaA03g48730D protein	A0A078GXD4
BnaA03g49000D	BnaA03g49000D protein	A0A078GXN0
BnaA03g48780D	BnaA03g48780D protein	A0A078GXD8
BnaA03g49150D	BnaA03g49150D protein	A0A078GXP6
BnaA03g48580D	BnaA03g48580D protein	A0A078GXB5
BnaA03g49090D	BnaA03g49090D protein	A0A078FLL5
BnaA03g49020D	BnaA03g49020D protein	A0A078GWH5
BnaA03g49160D	BnaA03g49160D protein	A0A078GTQ9
BnaA03g48870D	BnaA03g48870D protein	A0A078GWF6
BnaA03g49140D	BnaA03g49140D protein	A0A078GZ71
BnaA03g48810D	BnaA03g48810D protein	A0A078GTN3
BnaA03g49260D	BnaA03g49260D protein	A0A078GTR5
BnaA03g49080D	BnaA03g49080D protein	A0A078GXG6
BnaA03g48800D	BnaA03g48800D protein	A0A078GXK4
BnaA03g48890D	BnaA03g48890D protein	A0A078GZ49
BnaA03g48950D	BnaA03g48950D protein	A0A078GXM3
BnaA03g49270D	BnaA03g49270D protein	A0A078GWJ4
BnaA03g48710D	BnaA03g48710D protein	A0A078GTM3
BnaA03g48820D	BnaA03g48820D protein	A0A078GWF1
BnaA03g49110D	BnaA03g49110D protein	A0A078GTQ6
BnaA03g49070D	BnaA03g49070D protein	A0A078GWI0
BnaA03g48620D	BnaA03g48620D protein	A0A078GWE1
BnaA03g49100D	BnaA03g49100D protein	A0A078GXP1
BnaA03g49250D	BnaA03g49250D protein	A0A078GXQ6
BnaA03g48640D	BnaA03g48640D protein	A0A078GZ27
BnaA03g49030D	BnaA03g49030D protein	A0A078GXG4
BnaA03g48610D	NADPH-protochlorophyllide oxidoreductase	A0A078GTL5
BnaA03g48910D	BnaA03g48910D protein	A0A078GTN9
BnaA03g48720D	Protein pelota homolog	A0A078GWE7
BnaA03g48570D	BnaA03g48570D protein	A0A078GWD9
BnaA03g48930D	BnaA03g48930D protein	A0A078GXF2
BnaA03g49320D	BnaA03g49320D protein	A0A078GWJ8
BnaA03g48750D	BnaA03g48750D protein	A0A078GXJ7
BnaA03g49300D	BnaA03g49300D protein	A0A078GXR3
BnaA03g48700D	BnaA03g48700D protein	A0A078GXI9
BnaA03g49240D	BnaA03g49240D protein	A0A078GZ79
BnaA03g48690D	BnaA03g48690D protein	A0A078GZ32
BnaA03g48850D	BnaA03g48850D protein	A0A078GXL1
BnaA03g49010D	BnaA03g49010D protein	A0A078GTP7
BnaA03g49210D	BnaA03g49210D protein	A0A078GTR2
BnaA03g48560D	BnaA03g48560D protein (Fragment)	A0A078GTL3
BnaA03g48670D	BnaA03g48670D protein	A0A078GWE4
BnaA03g49310D	BnaA03g49310D protein	A0A078GTR8
BnaA03g49170D	BnaA03g49170D protein	A0A078GWI7
BnaA03g48980D	Cytochrome c oxidase subunit	A0A078GXF8
BnaA03g48900D	Histone-lysine N-methyltransferase	A0A078GXL7
BnaA03g49280D	26S proteasome non-ATPase regulatory subunit 2 homolog	A0A078GXH9
BnaAnng31470D	CASP-like protein	A0A078JQE2
BnaCnng63650D	BnaCnng63650D protein	A0A078JSS0
BnaUnng05200D	BnaUnng05200D protein (Fragment)	A0A078K1A8
BnaCnng61840D	BnaCnng61840D protein	A0A078JNF9
BnaAnng38140D	BnaAnng38140D protein	A0A078K153
BnaC03g77600D	BnaC03g77600D protein	A0A078JW52
BnaC06g41020D	BnaC06g41020D protein	A0A078JC72
BnaC06g41030D	BnaC06g41030D protein	A0A078JEW8
BnaC07g04270D	BnaC07g04270D protein	A0A078G0C5
BnaC07g04150D	BnaC07g04150D protein	A0A078FU78
BnaC07g04190D	BnaC07g04190D protein	A0A078FYK3
BnaC07g04260D	BnaC07g04260D protein	A0A078FY60
BnaC07g04290D	BnaC07g04290D protein	A0A078FYJ4
BnaC07g04130D	BnaC07g04130D protein	A0A078FZ60
BnaC07g04330D	BnaC07g04330D protein	A0A078FZ41
BnaC07g04280D	BnaC07g04280D protein	A0A078FZ46
BnaC07g04220D	BnaC07g04220D protein	A0A078G0D0
BnaC07g04140D	BnaC07g04140D protein	A0A078FYK8
BnaC07g04230D	BnaC07g04230D protein	A0A078FZ50
BnaC07g04300D	BnaC07g04300D protein	A0A078FU65
BnaC07g04340D	BnaC07g04340D protein	A0A078FYI8
BnaC07g04320D	BnaC07g04320D protein	A0A078G0B9
BnaC07g04180D	BnaC07g04180D protein	A0A078FZ55
BnaC07g04240D	ATP-dependent DNA helicase	A0A078FYJ9
BnaC07g04310D	BnaC07g04310D protein	A0A078FY55
BnaC07g04160D	Aconitate hydratase	A0A078FY71
BnaC07g04200D	BnaC07g04200D protein	A0A078FU73
BnaC07g04350D	BnaC07g04350D protein	A0A078FU62
BnaC07g04250D	Proteasome subunit alpha type	A0A078FU71
BnaC07g04170D	BnaC07g04170D protein	A0A078G0D2
BnaC07g04360D	BnaC07g04360D protein	A0A078FY50
BnaC07g04210D	BnaC07g04210D protein	A0A078FY66
BnaCnng76870D	BnaCnng76870D protein (Fragment)	A0A078K032
BnaCnng76880D	BnaCnng76880D protein	A0A078K0V8
BnaCnng75850D	BnaCnng75850D protein	A0A078JZF2
BnaAnng38020D	BnaAnng38020D protein	A0A078JVG8
BnaAnng32430D	BnaAnng32430D protein	A0A078JWT7
BnaC06g03410D	BnaC06g03410D protein	A0A078HXI0
BnaC06g03420D	BnaC06g03420D protein	A0A078HXU9
BnaC06g03320D	BnaC06g03320D protein	A0A078HXV9
BnaC06g03440D	BnaC06g03440D protein	A0A078HYZ0
BnaC06g03360D	BnaC06g03360D protein	A0A078HXI7
BnaC06g03550D	BnaC06g03550D protein	A0A078I0B4
BnaC06g03460D	BnaC06g03460D protein	A0A078HXG7
BnaC06g03330D	BnaC06g03330D protein	A0A078HVQ0
BnaC06g03390D	BnaC06g03390D protein	A0A078HYZ8
BnaC06g03370D	BnaC06g03370D protein	A0A078HXV5
BnaC06g03520D	BnaC06g03520D protein	A0A078HXQ8
BnaC06g03500D	BnaC06g03500D protein	A0A078I0C0
BnaC06g03300D	BnaC06g03300D protein	A0A078I0G2
