entrezgene_id	external_gene_name	Description_NCBI	ALIAS
106361062	BnaC03g77050D	cyclin-dependent kinases regulatory subunit 1	LOC106361062
106361071	BnaCnng47330D	UDP-glucosyl transferase 73B2	LOC106361071
106361074	BnaC03g77200D	"CBS domain-containing protein CBSX2, chloroplastic"	LOC106361074
106361075	BnaC03g77210D	uncharacterized protein C6G9.01c	BNAC03G77210D
106361078	BnaA08g11640D	caffeoyl-CoA O-methyltransferase 1	LOC106361078
106361078	BnaC03g77170D	caffeoyl-CoA O-methyltransferase 1	LOC106361078
106361079	BnaC03g77160D	"methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"	LOC106361079
106361080	BnaC03g77130D	uncharacterized BNAC03G77130D	BNAC03G77130D
106361085	BnaC03g66270D	probable protein phosphatase 2C 63	LOC106361085
106361086	BnaC03g66280D	probable prolyl 4-hydroxylase 9	LOC106361086
106361089	BnaC03g66380D	fatty acyl-CoA reductase 3	LOC106361089
106361092	BnaC03g66430D	"LL-diaminopimelate aminotransferase, chloroplastic"	LOC106361092
106361092	BnaA08g11470D	"LL-diaminopimelate aminotransferase, chloroplastic"	LOC106361092
106361094	BnaC03g66460D	"protein EXECUTER 1, chloroplastic"	LOC106361094
106361095	BnaC03g66520D	"beta carbonic anhydrase 5, chloroplastic"	LOC106361095
106361100	BnaCnng66970D	protein CYPRO4	LOC106361100
106361104	BnaC03g66710D	eukaryotic translation initiation factor 3 subunit K	LOC106361104
106361106	BnaC03g66740D	F-box/LRR-repeat protein 15	LOC106361106
106361108	BnaC03g66730D	F-box/LRR-repeat protein 15	LOC106361108
106361138	BnaC03g67270D	V-type proton ATPase subunit c''2	LOC106361138
106361138	BnaA01g04510D	V-type proton ATPase subunit c''2	LOC106361138
106361138	BnaA08g12170D	V-type proton ATPase subunit c''2	LOC106361138
106361139	BnaA08g12190D	"cytochrome b-c1 complex subunit 7-1, mitochondrial"	LOC106361139
106361155	BnaC03g68120D	uncharacterized LOC106361155	LOC106361155
106361155	BnaA08g13250D	uncharacterized LOC106361155	LOC106361155
106361162	BnaA08g13310D	WD repeat-containing protein VIP3	LOC106361162
106361168	BnaCnng62650D	alpha-taxilin	LOC106361168
106361183	BnaA08g30740D	peroxisomal fatty acid beta-oxidation multifunctional protein AIM1	LOC106361183
106361184	BnaA08g30730D	protein tesmin/TSO1-like CXC 5	LOC106361184
106361185	BnaA08g30780D	"photosystem I reaction center subunit IV A, chloroplastic"	LOC106361185
106361186	BnaA08g30760D	"glutaredoxin-C5, chloroplastic"	LOC106361186
106361193	BnaA08g13650D	rab GTPase-activating protein 22	LOC106361193
106361204	BnaA08g13820D	E3 ubiquitin-protein ligase RMA2	LOC106361204
106361206	BnaA08g13840D	uncharacterized BNAA08G13840D	BNAA08G13840D
106361207	BnaA08g13850D	U3 small nucleolar RNA-associated protein 6 homolog	LOC106361207
106361209	BnaA08g13860D	ethylene-responsive transcription factor ERF054	LOC106361209
106361211	BnaA08g13900D	putative S-adenosylmethionine-dependent methyltransferase RcsF	LOC106361211
106361214	BnaA08g13940D	ethylene-responsive transcription factor CRF4	LOC106361214
106361215	BnaA08g13960D	mitochondrial carrier protein MTM1	LOC106361215
106361216	BnaA08g13980D	zinc finger protein CONSTANS-LIKE 3	LOC106361216
106361231	BnaA08g14030D	uncharacterized BNAA08G14030D	BNAA08G14030D
106361237	BnaA05g13520D	"pentatricopeptide repeat-containing protein At1g55890, mitochondrial-like"	LOC106361237
106361244	BnaA05g13640D	"photosystem I reaction center subunit V, chloroplastic"	LOC106361244
106361245	BnaA05g13680D	uncharacterized BNAA05G13680D	BNAA05G13680D
106361246	BnaA05g13700D	E3 ubiquitin-protein ligase SIRP1	LOC106361246
106361248	BnaA05g13740D	"ruBisCO large subunit-binding protein subunit beta, chloroplastic-like"	LOC106361248
106361250	BnaA05g13750D	"protein MET1, chloroplastic"	BNAA05G13750D
106361251	BnaC06g10970D	TATA-box-binding protein 2	LOC106361251
106361251	BnaA05g13730D	TATA-box-binding protein 2	LOC106361251
106361254	BnaA05g13800D	arabinogalactan protein 21-like	LOC106361254
106361254	BnaC06g10890D	arabinogalactan protein 21-like	LOC106361254
106361280	BnaA08g14970D	probable E3 ubiquitin-protein ligase ATL45	LOC106361280
106361281	BnaA08g14950D	probable serine/threonine-protein kinase CST	LOC106361281
106361297	BnaA08g14860D	CSC1-like protein At4g35870	LOC106361297
106361313	BnaA08g14660D	zinc-finger homeodomain protein 2	LOC106361313
106361316	BnaA08g14640D	"31 kDa ribonucleoprotein, chloroplastic"	LOC106361316
106361318	BnaA08g14630D	probable pectate lyase 18	LOC106361318
106361319	BnaA08g14610D	26S proteasome non-ATPase regulatory subunit 6 homolog	LOC106361319
106361320	BnaC08g11930D	membrane-anchored ubiquitin-fold protein 3	LOC106361320
106361320	BnaA08g14580D	membrane-anchored ubiquitin-fold protein 3	LOC106361320
106361323	BnaA08g14540D	oleosin 18.5 kDa	LOC106361323
106361323	BnaA08g14540D	oleosin 18.5 kDa	S3
106361331	BnaA08g30890D	MADS-box protein AGL71	LOC106361331
106361333	BnaA08g30960D	serine/arginine-rich splicing factor RS40-like	LOC106361333
106361354	BnaA08g14270D	GDP-L-galactose phosphorylase 1	LOC106361354
106361355	BnaA08g14280D	small ubiquitin-related modifier 1	LOC106361355
106361356	BnaA08g14250D	"probable beta-1,3-galactosyltransferase 4"	LOC106361356
106361403	BnaA08g15710D	BTB/POZ domain-containing protein NPY5	LOC106361403
106361405	BnaA08g15700D	probable N-acetyltransferase HLS1	LOC106361405
106361409	BnaA08g15670D	uncharacterized BNAA08G15670D	BNAA08G15670D
106361417	BnaA08g15580D	transcription factor SPATULA-like	LOC106361417
106361417	BnaA08g15580D	transcription factor SPATULA-like	BnabHLH205
106361422	BnaA08g15520D	uncharacterized BNAA08G15520D	BNAA08G15520D
106361423	BnaA08g15500D	nuclear pore complex protein NUP58-like	LOC106361423
106361426	BnaA08g15510D	uncharacterized protein DDB_G0286299	BNAA08G15510D
106361428	BnaA08g15490D	transcription factor HHO5	BNAA08G15490D
106361429	BnaA08g15470D	cold-regulated 413 plasma membrane protein 4	LOC106361429
106361432	BnaA08g15440D	"heterodimeric geranylgeranyl pyrophosphate synthase large subunit 1, chloroplastic-like"	LOC106361432
106361435	BnaA08g15400D	G-box-binding factor 1	LOC106361435
106361436	BnaA08g15390D	HVA22-like protein k	LOC106361436
106361439	BnaA08g15360D	"pentatricopeptide repeat-containing protein At4g36680, mitochondrial"	LOC106361439
106361464	BnaA05g14950D	uncharacterized BNAA05G14950D	BNAA05G14950D
106361467	BnaA05g14930D	uncharacterized LOC106361467	LOC106361467
106361468	BnaC03g60160D	peptidyl-prolyl cis-trans isomerase CYP18-3	LOC106361468
106361468	BnaA08g16920D	peptidyl-prolyl cis-trans isomerase CYP18-3	LOC106361468
106361510	BnaA07g13000D	calmodulin-like	LOC106361510
106361510	BnaC04g54820D	calmodulin-like	LOC106361510
106361579	BnaC03g59670D	"photosystem I reaction center subunit psaK, chloroplastic"	LOC106361579
106361609	BnaC03g76030D	probable methyltransferase At1g29790	BNAC03G76030D
106361616	BnaA09g13890D	TIR-only protein	LOC106361616
106361625	BnaA07g04110D	nodulation protein H	LOC106361625
106361630	BnaA07g04160D	probable E3 ubiquitin-protein ligase RHY1A	LOC106361630
106361633	BnaA10g11590D	xylose isomerase	LOC106361633
106361720	BnaA03g47310D	peptidyl-prolyl cis-trans isomerase FKBP53-like	LOC106361720
106361728	BnaA03g47170D	oleosin 18.5 kDa	LOC106361728
106361728	BnaA03g47170D	oleosin 18.5 kDa	S3
106361739	BnaA02g11680D	protein transport protein Sec61 subunit gamma-1	LOC106361739
106361739	BnaC02g16070D	protein transport protein Sec61 subunit gamma-1	LOC106361739
106361739	BnaC03g27880D	protein transport protein Sec61 subunit gamma-1	LOC106361739
106361739	BnaC07g39190D	protein transport protein Sec61 subunit gamma-1	LOC106361739
106361739	BnaA01g14270D	protein transport protein Sec61 subunit gamma-1	LOC106361739
106361739	BnaA03g23500D	protein transport protein Sec61 subunit gamma-1	LOC106361739
106361739	BnaA03g47010D	protein transport protein Sec61 subunit gamma-1	LOC106361739
106361739	BnaC01g16760D	protein transport protein Sec61 subunit gamma-1	LOC106361739
106361753	BnaC03g75800D	uncharacterized membrane protein YuiD	BNAC03G75800D
106361756	BnaC03g75820D	"3-oxoacyl-[acyl-carrier-protein] reductase 2, chloroplastic"	bkr2
106361756	BnaC03g75820D	"3-oxoacyl-[acyl-carrier-protein] reductase 2, chloroplastic"	LOC106361756
106361757	BnaC03g75840D	E3 ubiquitin-protein ligase AIRP2	BNAC03G75840D
106361762	BnaCnng04920D	probable E3 ubiquitin-protein ligase XERICO	LOC106361762
106361765	BnaCnng04910D	uncharacterized BNACNNG04910D	BNACNNG04910D
106361766	BnaC04g52510D	F-box protein MAX2-like	LOC106361766
106361769	BnaC04g52530D	multiprotein-bridging factor 1a-like	LOC106361769
106361772	BnaC04g52580D	"citrate synthase 3, peroxisomal"	LOC106361772
106361773	BnaC04g52560D	50S ribosomal protein L1-like	LOC106361773
106361774	BnaC04g52570D	"chaperone protein dnaJ C76, chloroplastic"	LOC106361774
106361776	BnaC04g52600D	serine/threonine-protein phosphatase 5-like	LOC106361776
106361781	BnaA03g37390D	aldehyde dehydrogenase family 2 member C4	LOC106361781
106361797	BnaA03g37610D	60S ribosomal protein L13a-2	LOC106361797
106361797	BnaC03g44740D	60S ribosomal protein L13a-2	LOC106361797
106361810	BnaA03g57730D	peptidyl-prolyl cis-trans isomerase FKBP15-1	LOC106361810
106361812	BnaA03g57820D	putative rRNA methyltransferase YqxC	LOC106361812
106361813	BnaA03g57830D	"rhodanese-like domain-containing protein 4A, chloroplastic"	LOC106361813
106361814	BnaA03g57840D	formin-like protein 1	LOC106361814
106361819	BnaA03g57660D	subtilisin-like protease SBT5.3	LOC106361819
106361820	BnaA05g15160D	probable E3 ubiquitin-protein ligase XERICO	LOC106361820
106361820	BnaA03g57680D	probable E3 ubiquitin-protein ligase XERICO	LOC106361820
106361831	BnaA02g07040D	suppressor of disruption of TFIIS	LOC106361831
106361834	BnaA02g07080D	actin-12	LOC106361834
106361841	BnaA02g07140D	UDP-glucuronic acid decarboxylase 3	LOC106361841
106361846	BnaA08g19660D	protein SOB FIVE-LIKE 1	BNAA08G19660D
106361862	BnaA08g19470D	lysine histidine transporter-like 6	LOC106361862
106361886	BnaA08g19060D	uncharacterized membrane protein YuiD	BNAA08G19060D
106361893	BnaAnng21720D	nuclear transport factor 2A	LOC106361893
106361893	BnaC03g57560D	nuclear transport factor 2A	LOC106361893
106361899	BnaC03g57650D	cold shock protein 2	LOC106361899
106361900	BnaC03g57690D	"probable beta-1,4-xylosyltransferase IRX10"	LOC106361900
106361901	BnaC03g57670D	putative F-box/kelch-repeat protein At1g27420	LOC106361901
106361902	BnaC03g57680D	uncharacterized BNAC03G57680D	BNAC03G57680D
106361903	BnaC03g57700D	adenine phosphoribosyltransferase 1	LOC106361903
106361904	BnaC03g57710D	protein NPGR1	LOC106361904
106361908	BnaCnng04490D	"serotonin N-acetyltransferase 2, chloroplastic"	BNACNNG04490D
106361909	BnaCnng04500D	protein SOB FIVE-LIKE 1	LOC106361909
106361915	BnaCnng29670D	uncharacterized BNACNNG29670D	BNACNNG29670D
106361916	BnaCnng29650D	5'-deoxynucleotidase HDDC2	LOC106361916
106361917	BnaCnng29620D	protein decapping 5	LOC106361917
106361918	BnaCnng29600D	"uncharacterized protein At1g26090, chloroplastic"	BNACNNG29600D
106361920	BnaCnng29610D	probable transmembrane ascorbate ferrireductase 4	LOC106361920
106361921	BnaCnng04540D	protein NRT1/ PTR FAMILY 5.15	LOC106361921
106361926	BnaCnng04620D	protein ASPARTIC PROTEASE IN GUARD CELL 1	LOC106361926
106361927	BnaCnng04630D	CTL-like protein DDB_G0274487	LOC106361927
106361928	BnaCnng04670D	aluminum-activated malate transporter 4	LOC106361928
106361930	BnaCnng04760D	"nicotinamide adenine dinucleotide transporter 2, mitochondrial"	LOC106361930
106361934	BnaC03g75650D	uncharacterized BNAC03G75650D	BNAC03G75650D
106361935	BnaC03g75640D	uncharacterized BNAC03G75640D	BNAC03G75640D
106361939	BnaCnng04780D	"anthranilate synthase beta subunit 1, chloroplastic"	LOC106361939
106361941	BnaA08g19760D	peptidyl-prolyl cis-trans isomerase NIMA-interacting 4-like	LOC106361941
106361947	BnaC08g20270D	uncharacterized BNAC08G20270D	BNAC08G20270D
106361950	BnaC08g20250D	tetratricopeptide repeat protein 38	LOC106361950
106361951	BnaC08g20240D	hydroxyproline O-galactosyltransferase GALT4	LOC106361951
106361954	BnaAnng18150D	glycosyltransferase family 92 protein At1g27200	LOC106361954
106362024	BnaA05g31700D	26S proteasome regulatory subunit 6A homolog	LOC106362024
106362024	BnaC05g46270D	26S proteasome regulatory subunit 6A homolog	LOC106362024
106362044	BnaC08g15730D	bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1	LOC106362044
106362045	BnaC08g15770D	protein AUXIN SIGNALING F-BOX 3	LOC106362045
106362046	BnaCnng51300D	V-type proton ATPase subunit C	LOC106362046
106362047	BnaCnng51290D	histone H2A.Z-specific chaperone CHZ1	LOC106362047
106362048	BnaCnng51310D	uncharacterized LOC106362048	LOC106362048
106362049	BnaCnng51320D	uncharacterized LOC106362049	LOC106362049
106362055	BnaC03g57010D	transcription factor SCREAM2-like	bHLH33-2.1
106362055	BnaC03g57010D	transcription factor SCREAM2-like	BnabHLH147
106362055	BnaC03g57010D	transcription factor SCREAM2-like	LOC106362055
106362056	BnaA08g24510D	eukaryotic peptide chain release factor subunit 1-2	LOC106362056
106362059	BnaC03g56970D	uncharacterized BNAC03G56970D	BNAC03G56970D
106362064	BnaC03g56940D	proteasome subunit beta type-5-B	LOC106362064
106362066	BnaC03g56930D	cytochrome P450 71B2	LOC106362066
106362067	BnaC03g56910D	cytochrome P450 71B2	LOC106362067
106362072	BnaC03g56720D	uncharacterized BNAC03G56720D	BNAC03G56720D
106362073	BnaC08g15780D	"methionine aminopeptidase 1B, chloroplastic"	LOC106362073
106362074	BnaC08g15790D	"allene oxide cyclase 4, chloroplastic"	LOC106362074
106362075	BnaC08g15830D	uncharacterized BNAC08G15830D	BNAC08G15830D
106362076	BnaC08g15840D	uncharacterized BNAC08G15840D	BNAC08G15840D
106362082	BnaC08g15940D	uncharacterized LOC106362082	LOC106362082
106362083	BnaC08g15950D	uncharacterized BNAC08G15950D	BNAC08G15950D
106362087	BnaC03g56560D	uncharacterized BNAC03G56560D	BNAC03G56560D
106362093	BnaCnng39610D	probable WRKY transcription factor 4	LOC106362093
106362094	BnaCnng39600D	transmembrane emp24 domain-containing protein p24delta7	LOC106362094
106362097	BnaCnng39590D	rhamnogalacturonan I rhamnosyltransferase 1	BNACNNG39590D
106362098	BnaCnng39580D	uncharacterized BNACNNG39580D	BNACNNG39580D
106362106	BnaA08g24010D	ubiquitin-conjugating enzyme E2 1	LOC106362106
106362106	BnaCnng51240D	ubiquitin-conjugating enzyme E2 1	LOC106362106
106362106	BnaC08g39660D	ubiquitin-conjugating enzyme E2 1	LOC106362106
106362106	BnaA09g57120D	ubiquitin-conjugating enzyme E2 1	LOC106362106
106362107	BnaCnng51250D	"single-stranded DNA-binding protein WHY1, chloroplastic"	LOC106362107
106362134	BnaA08g25410D	endonuclease 1	BFN1.1
106362134	BnaA08g25410D	endonuclease 1	LOC106362134
106362138	BnaA08g25350D	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11300	LOC106362138
106362144	BnaA08g25310D	partner of Y14 and mago	LOC106362144
106362151	BnaA08g25270D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	BRP10
106362151	BnaA08g25270D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	ABC10
106362151	BnaA08g25270D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	LOC106362151
106362151	BnaA06g07130D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	BRP10
106362151	BnaA06g07130D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	ABC10
106362151	BnaA06g07130D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	LOC106362151
106362151	BnaCnng17960D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	BRP10
106362151	BnaCnng17960D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	ABC10
106362151	BnaCnng17960D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	LOC106362151
106362151	BnaC08g14950D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	BRP10
106362151	BnaC08g14950D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	ABC10
106362151	BnaC08g14950D	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	LOC106362151
106362166	BnaA08g25110D	putative lactoylglutathione lyase	LOC106362166
106362167	BnaA08g25160D	"ATP-dependent Clp protease proteolytic subunit 6, chloroplastic"	LOC106362167
106362169	BnaA08g25140D	mediator of RNA polymerase II transcription subunit 32	LOC106362169
106362175	BnaC08g15150D	25.3 kDa vesicle transport protein	LOC106362175
106362175	BnaA08g25060D	25.3 kDa vesicle transport protein	LOC106362175
106362208	BnaA08g29070D	probable protein phosphatase 2C 4	LOC106362208
106362213	BnaA08g28640D	probable sugar phosphate/phosphate translocator At1g06470	LOC106362213
106362220	BnaA08g28750D	UDP-xylose transporter 3	BNAA08G28750D
106362221	BnaA08g28740D	transcription factor RF2b	LOC106362221
106362224	BnaA08g28770D	"protein TIC110, chloroplastic"	LOC106362224
106362225	BnaA08g28830D	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase"	LOC106362225
106362227	BnaA08g28820D	gamma-interferon-responsive lysosomal thiol protein	LOC106362227
106362230	BnaA08g28810D	zinc finger protein CONSTANS-LIKE 7	LOC106362230
106362239	BnaA08g28920D	sugar transport protein 2	LOC106362239
106362241	BnaCnng74110D	ras-related protein RABA2b	LOC106362241
106362242	BnaAnng26080D	methylsterol monooxygenase 2-2	LOC106362242
106362245	BnaAnng26060D	tropinone reductase homolog At1g07450	LOC106362245
106362246	BnaA08g28950D	transcription initiation factor IIA large subunit-like	LOC106362246
106362256	BnaA08g29070D	probable protein phosphatase 2C 4	LOC106362256
106362257	BnaA08g29080D	dof zinc finger protein DOF1.1	LOC106362257
106362258	BnaA06g04200D	40S ribosomal protein S15a	LOC106362258
106362258	BnaCnng37690D	40S ribosomal protein S15a	LOC106362258
106362258	BnaC05g05370D	40S ribosomal protein S15a	LOC106362258
106362258	BnaC09g35210D	40S ribosomal protein S15a	LOC106362258
106362258	BnaA10g12820D	40S ribosomal protein S15a	LOC106362258
106362258	BnaA02g06730D	40S ribosomal protein S15a	LOC106362258
106362258	BnaC03g11550D	40S ribosomal protein S15a	LOC106362258
106362258	BnaA08g29090D	40S ribosomal protein S15a	LOC106362258
106362259	BnaA08g29130D	DNA repair protein RAD51 homolog 4	LOC106362259
106362260	BnaA08g29140D	"pentatricopeptide repeat-containing protein At1g07740, mitochondrial"	LOC106362260
106362262	BnaAnng15520D	3-ketoacyl-CoA synthase 3	LOC106362262
106362263	BnaC04g15470D	histone H4	LOC106362263
106362263	BnaA06g04180D	histone H4	LOC106362263
106362263	BnaC06g37340D	histone H4	LOC106362263
106362263	BnaA03g22040D	histone H4	LOC106362263
106362263	BnaA06g04320D	histone H4	LOC106362263
106362263	BnaA09g33930D	histone H4	LOC106362263
106362263	BnaAnng15490D	histone H4	LOC106362263
106362263	BnaC08g43530D	histone H4	LOC106362263
106362263	BnaC05g05500D	histone H4	LOC106362263
106362263	BnaCnng67420D	histone H4	LOC106362263
106362263	BnaC03g55650D	histone H4	LOC106362263
106362263	BnaC02g44320D	histone H4	LOC106362263
106362263	BnaA04g16620D	histone H4	LOC106362263
106362263	BnaA06g18260D	histone H4	LOC106362263
106362263	BnaC04g39990D	histone H4	LOC106362263
106362263	BnaA05g06970D	histone H4	LOC106362263
106362263	BnaA07g14090D	histone H4	LOC106362263
106362263	BnaC03g20760D	histone H4	LOC106362263
106362263	BnaA03g17280D	histone H4	LOC106362263
106362263	BnaA02g06910D	histone H4	LOC106362263
106362263	BnaC03g11650D	histone H4	LOC106362263
106362263	BnaC08g02310D	histone H4	LOC106362263
106362263	BnaA04g21530D	histone H4	LOC106362263
106362263	BnaC03g26410D	histone H4	LOC106362263
106362263	BnaA09g49230D	histone H4	LOC106362263
106362263	BnaA03g09320D	histone H4	LOC106362263
106362276	BnaA08g27100D	UDP-D-apiose/UDP-D-xylose synthase 2	LOC106362276
106362278	BnaA08g27070D	GABA transporter 1	LOC106362278
106362280	BnaA08g27080D	uncharacterized BNAA08G27080D	BNAA08G27080D
106362305	BnaA01g05670D	"alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial"	LOC106362305
106362309	BnaC09g49220D	NEDD8-activating enzyme E1 regulatory subunit AXR1-like	LOC106362309
106362309	BnaA08g27000D	NEDD8-activating enzyme E1 regulatory subunit AXR1-like	LOC106362309
106362310	BnaA08g26990D	GTPase LSG1-2-like	LOC106362310
106362330	BnaCnng06460D	probable histone H2AXa	LOC106362330
106362330	BnaA08g26730D	probable histone H2AXa	LOC106362330
106362332	BnaA08g26710D	sugar transporter ESL1	LOC106362332
106362343	BnaA08g26590D	probable protein phosphatase 2C 5	LOC106362343
106362347	BnaA08g26550D	GTP-binding protein SAR1B	LOC106362347
106362348	BnaC07g00750D	calreticulin-2	LOC106362348
106362348	BnaA08g26530D	calreticulin-2	LOC106362348
106362349	BnaA10g21880D	histone H3.2	LOC106362349
106362349	BnaC09g46270D	histone H3.2	LOC106362349
106362350	BnaA08g26520D	importin subunit alpha-4	LOC106362350
106362352	BnaA08g26510D	uncharacterized BNAA08G26510D	BNAA08G26510D
106362355	BnaA08g26490D	uncharacterized BNAA08G26490D	BNAA08G26490D
106362359	BnaA08g26420D	ATP-citrate synthase alpha chain protein 3	LOC106362359
106362365	BnaA08g26270D	60S ribosomal protein L21-1-like	LOC106362365
106362365	BnaA08g26210D	60S ribosomal protein L21-1-like	LOC106362365
106362365	BnaC08g13710D	60S ribosomal protein L21-1-like	LOC106362365
106362367	BnaA08g26240D	probable elongation factor 1-gamma 1	LOC106362367
106362368	BnaA08g26220D	KH domain-containing protein At1g09660/At1g09670	LOC106362368
106362371	BnaA08g26230D	uncharacterized BNAA08G26230D	BNAA08G26230D
106362372	BnaC08g13710D	60S ribosomal protein L21-1	LOC106362372
106362372	BnaA08g26270D	60S ribosomal protein L21-1	LOC106362372
106362372	BnaA08g26210D	60S ribosomal protein L21-1	LOC106362372
106362377	BnaA08g26180D	universal stress protein PHOS34	LOC106362377
106362378	BnaA08g26170D	aspartyl protease AED3	LOC106362378
106362381	BnaA08g26140D	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1"	LOC106362381
106362382	BnaA08g26110D	"phosphoribosylamine--glycine ligase, chloroplastic"	LOC106362382
106362383	BnaA08g26130D	COBRA-like protein 6	LOC106362383
106362386	BnaA08g26120D	uncharacterized BNAA08G26120D	BNAA08G26120D
106362390	BnaA08g26070D	phosphoglycerate mutase-like protein	LOC106362390
106362396	BnaA08g26040D	uncharacterized BNAA08G26040D	BNAA08G26040D
106362398	BnaA08g26030D	ergosterol biosynthetic protein 28	LOC106362398
106362406	BnaA08g25900D	LIM domain-containing protein WLIM1	LIM
106362406	BnaA08g25900D	LIM domain-containing protein WLIM1	LOC106362406
106362417	BnaA08g25730D	RNA cytidine acetyltransferase 1	LOC106362417
106362420	BnaA08g25690D	probable xyloglucan endotransglucosylase/hydrolase protein 33	LOC106362420
106362423	BnaA08g25620D	E3 ubiquitin-protein ligase BOI	LOC106362423
106362434	BnaA08g25520D	serine/threonine-protein kinase SRK2A	LOC106362434
106362441	BnaA09g26370D	F-box protein At1g30200	LOC106362441
106362442	BnaA09g26360D	transcription factor TCP24	LOC106362442
106362595	BnaA09g03010D	uncharacterized BNAA09G03010D	BNAA09G03010D
106362617	BnaA09g04130D	uncharacterized BNAA09G04130D	BNAA09G04130D
106362691	BnaA09g05950D	uncharacterized BNAA09G05950D	BNAA09G05950D
106362700	BnaA09g20800D	putative B3 domain-containing protein At4g12617	LOC106362700
106362737	BnaA09g07780D	"calcium uniporter protein 3, mitochondrial"	LOC106362737
106362751	BnaC01g42890D	two-component response regulator ARR5	LOC106362751
106362847	BnaA09g13080D	uncharacterized BNAA09G13080D	BNAA09G13080D
106362937	BnaA09g17230D	mitogen-activated protein kinase kinase kinase 20	LOC106362937
106362941	BnaA09g17190D	putative F-box/kelch-repeat protein At4g39756	LOC106362941
106363002	BnaCnng63300D	nucleolar GTP-binding protein 1-like	LOC106363002
106363015	BnaA09g20030D	uncharacterized protein At4g04980	BNAA09G20030D
106363120	BnaA07g09910D	uncharacterized BNAA07G09910D	BNAA07G09910D
106363135	BnaCnng49750D	protein psi1	LOC106363135
106363225	BnaC01g43820D	F-box/kelch-repeat protein SKIP30	LOC106363225
106363241	BnaA09g26550D	agamous-like MADS-box protein AGL29	LOC106363241
106363251	BnaA09g26800D	auxin-responsive protein SAUR64	LOC106363251
106363261	BnaA09g54110D	uncharacterized BNAA09G54110D	BNAA09G54110D
106363337	BnaAnng38390D	phosphopantothenoylcysteine decarboxylase subunit VHS3	LOC106363337
106363347	BnaC05g29340D	F-box/kelch-repeat protein At3g13680	LOC106363347
106363347	BnaC06g25990D	F-box/kelch-repeat protein At3g13680	LOC106363347
106363363	BnaA02g36760D	NAC domain-containing protein 96	LOC106363363
106363379	BnaC01g43800D	ABSCISIC ACID-INSENSITIVE 5-like protein 7	LOC106363379
106363379	BnaC01g43800D	ABSCISIC ACID-INSENSITIVE 5-like protein 7	ABF4-2.1
106363636	BnaC02g46060D	transcription factor MYB62	LOC106363636
106363659	BnaA09g55540D	ENHANCER OF AG-4 protein 2	LOC106363659
106363662	BnaA09g39820D	WRKY transcription factor 68	LOC106363662
106363708	BnaCnng51870D	eukaryotic translation initiation factor 3 subunit B	LOC106363708
106363730	BnaA09g43280D	uncharacterized BNAA09G43280D	BNAA09G43280D
106363751	BnaAnng29090D	GDSL esterase/lipase At2g40250	LOC106363751
106363759	BnaC04g04890D	uncharacterized protein At5g39865	BNAC04G04890D
106363805	BnaA02g33490D	mavicyanin	LOC106363805
106363904	BnaC05g12810D	uncharacterized BNAC05G12810D	BNAC05G12810D
106363906	BnaC09g21480D	late embryogenesis abundant protein 1	LOC106363906
106363906	BnaA07g05820D	late embryogenesis abundant protein 1	LOC106363906
106363908	BnaC05g12610D	LOB domain-containing protein 3	LOC106363908
106363937	BnaA10g07240D	uncharacterized BNAA10G07240D	BNAA10G07240D
106363939	BnaA10g07220D	IAA-amino acid hydrolase ILR1-like 3	LOC106363939
106363955	BnaC09g53930D	uncharacterized BNAC09G53930D	BNAC09G53930D
106363978	BnaAnng39320D	protein SULFUR DEFICIENCY-INDUCED 1	LOC106363978
106363980	BnaA09g03140D	cytochrome B5	LOC106363980
106363984	BnaA09g03020D	probable aspartic proteinase GIP2	LOC106363984
106363989	BnaAnng32420D	E3 ubiquitin-protein ligase AIP2	LOC106363989
106363995	BnaA09g02720D	cytochrome P450 85A2	LOC106363995
106363999	BnaA09g02530D	transmembrane emp24 domain-containing protein p24delta11	LOC106363999
106364001	BnaA09g03290D	transcription factor MYB111	LOC106364001
106364002	BnaA09g03280D	proline-rich antigen homolog	LOC106364002
106364007	BnaAnng26800D	transcription factor MYB86	LOC106364007
106364009	BnaA09g04230D	uncharacterized LOC106364009	LOC106364009
106364010	BnaA09g04230D	uncharacterized LOC106364010	LOC106364010
106364022	BnaA09g04440D	uncharacterized BNAA09G04440D	BNAA09G04440D
106364026	BnaA09g04470D	ethylene-responsive transcription factor TINY	LOC106364026
