"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "ABC10"
"106362151" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "ABC10"
"106362151" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "ABC10"
"106362151" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "ABC10"
"106362151" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "ABC10"
"106362151" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "ABC10"
"106362151" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "ABC10"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "ABC10"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106362151"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "BRP10"
"106362151" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "ABC10"
"106362258" "GO:0006412" "BP" "40S ribosomal protein S15a" "translation" "BnaA06g04200D" "40S ribosomal protein S15a" "LOC106362258"
"106362258" "GO:0006412" "BP" "40S ribosomal protein S15a" "translation" "BnaC05g05370D" "40S ribosomal protein S15a" "LOC106362258"
"106362258" "GO:0006412" "BP" "40S ribosomal protein S15a" "translation" "BnaA06g04200D" "40S ribosomal protein S15a" "LOC106362258"
"106362258" "GO:0006412" "BP" "40S ribosomal protein S15a" "translation" "BnaC05g05370D" "40S ribosomal protein S15a" "LOC106362258"
"106362263" NA NA NA NA "BnaA06g04320D" "histone H4" "LOC106362263"
"106362263" NA NA NA NA "BnaA04g16620D" "histone H4" "LOC106362263"
"106362263" NA NA NA NA "BnaC03g11650D" "histone H4" "LOC106362263"
"106362263" NA NA NA NA "BnaA04g21530D" "histone H4" "LOC106362263"
"106362263" NA NA NA NA "BnaA03g09320D" "histone H4" "LOC106362263"
"106362349" NA NA NA NA "BnaA10g21880D" "histone H3.2" "LOC106362349"
"106362349" NA NA NA NA "BnaC09g46270D" "histone H3.2" "LOC106362349"
"106362355" NA NA NA NA "BnaA08g26490D" "uncharacterized BNAA08G26490D" "BNAA08G26490D"
"106362595" NA NA NA NA "BnaA09g03010D" "uncharacterized BNAA09G03010D" "BNAA09G03010D"
"106362737" "GO:0036444" "BP" "calcium uniporter protein 3, mitochondrial" "calcium import into the mitochondrion" "BnaA09g07780D" "calcium uniporter protein 3, mitochondrial" "LOC106362737"
"106362737" "GO:0051560" "BP" "calcium uniporter protein 3, mitochondrial" "mitochondrial calcium ion homeostasis" "BnaA09g07780D" "calcium uniporter protein 3, mitochondrial" "LOC106362737"
"106363135" "GO:0051085" "BP" "protein psi1" "chaperone cofactor-dependent protein refolding" "BnaCnng49750D" "protein psi1" "LOC106363135"
"106363978" NA NA NA NA "BnaAnng39320D" "protein SULFUR DEFICIENCY-INDUCED 1" "LOC106363978"
"106364075" "GO:0005975" "BP" "acidic endochitinase" "carbohydrate metabolic process" "BnaA09g05050D" "acidic endochitinase" "LOC106364075"
"106364080" "GO:0006412" "BP" "50S ribosomal protein L24" "translation" "BnaC09g04830D" "50S ribosomal protein L24" "LOC106364080"
"106364081" "GO:0009860" "BP" "probable carboxylesterase 18" "pollen tube growth" "BnaA09g05270D" "probable carboxylesterase 18" "LOC106364081"
"106364095" NA NA NA NA "BnaA09g05970D" "AT-hook motif nuclear-localized protein 6" "LOC106364095"
"106364105" "GO:0045944" "BP" "agamous-like MADS-box protein AGL80" "positive regulation of transcription by RNA polymerase II" "BnaAnng16690D" "agamous-like MADS-box protein AGL80" "LOC106364105"
"106364105" "GO:0006357" "BP" "agamous-like MADS-box protein AGL80" "regulation of transcription by RNA polymerase II" "BnaAnng16690D" "agamous-like MADS-box protein AGL80" "LOC106364105"
"106364114" NA NA NA NA "BnaA09g06220D" "uncharacterized LOC106364114" "LOC106364114"
"106364115" "GO:0008643" "BP" "bidirectional sugar transporter SWEET5" "carbohydrate transport" "BnaA09g06250D" "bidirectional sugar transporter SWEET5" "LOC106364115"
"106364236" NA NA NA NA "BnaA09g12010D" "defensin-like protein 35" "LOC106364236"
"106364375" "GO:0042744" "BP" "peroxidase 7" "hydrogen peroxide catabolic process" "BnaCnng11080D" "peroxidase 7" "LOC106364375"
"106364375" "GO:0006979" "BP" "peroxidase 7" "response to oxidative stress" "BnaCnng11080D" "peroxidase 7" "LOC106364375"
"106364447" NA NA NA NA "BnaAnng07290D" "pEARLI1-like lipid transfer protein 1" "LOC106364447"
"106364623" "GO:0006044" "BP" "uncharacterized BNAANNG27230D" "N-acetylglucosamine metabolic process" "BnaAnng27230D" "uncharacterized BNAANNG27230D" "BNAANNG27230D"
"106364623" "GO:0006487" "BP" "uncharacterized BNAANNG27230D" "protein N-linked glycosylation" "BnaAnng27230D" "uncharacterized BNAANNG27230D" "BNAANNG27230D"
"106364671" "GO:0003333" "BP" "lysine histidine transporter 2" "amino acid transmembrane transport" "BnaA09g28110D" "lysine histidine transporter 2" "LOC106364671"
"106364686" NA NA NA NA "BnaA09g26710D" "oil body-associated protein 2C" "BNAA09G26710D"
"106364938" "GO:0050896" "BP" "heavy metal-associated isoprenylated plant protein 45" "response to stimulus" "BnaA09g36190D" "heavy metal-associated isoprenylated plant protein 45" "LOC106364938"
"106364943" NA NA NA NA "BnaA09g35870D" "putative thioredoxin H10" "LOC106364943"
"106365147" NA NA NA NA "BnaA09g41380D" "fasciclin-like arabinogalactan protein 3" "LOC106365147"
"106365164" NA NA NA NA "BnaA09g41930D" "GDSL esterase/lipase At2g23540" "LOC106365164"
"106365180" NA NA NA NA "BnaA09g42610D" "classical arabinogalactan protein 2" "LOC106365180"
"106365188" NA NA NA NA "BnaC08g35290D" "PLAT domain-containing protein 2-like" "LOC106365188"
"106365327" NA NA NA NA "BnaA02g33420D" "HVA22-like protein b" "LOC106365327"
"106365449" NA NA NA NA "BnaAnng07260D" "pectinesterase inhibitor 12" "LOC106365449"
"106365551" NA NA NA NA "BnaA03g08250D" "calmodulin" "LOC106365551"
"106365553" NA NA NA NA "BnaA02g05360D" "protein OXIDATIVE STRESS 3 LIKE 2" "BNAA02G05360D"
"106365578" NA NA NA NA "BnaC05g12870D" "uncharacterized membrane protein At1g16860" "BNAC05G12870D"
"106365590" "GO:0006468" "BP" "cold-responsive protein kinase 1" "protein phosphorylation" "BnaC05g12740D" "cold-responsive protein kinase 1" "LOC106365590"
"106365648" NA NA NA NA "BnaA09g00150D" "protein CURVATURE THYLAKOID 1A, chloroplastic" "LOC106365648"
"106365668" NA NA NA NA "BnaA01g33590D" "uncharacterized BNAA01G33590D" "BNAA01G33590D"
"106365811" NA NA NA NA "BnaA09g03030D" "uncharacterized BNAA09G03030D" "BNAA09G03030D"
"106365851" "GO:0009653" "BP" "expansin-A5" "anatomical structure morphogenesis" "BnaCnng51340D" "expansin-A5" "LOC106365851"
"106365851" "GO:0009664" "BP" "expansin-A5" "plant-type cell wall organization" "BnaCnng51340D" "expansin-A5" "LOC106365851"
"106365872" "GO:0006468" "BP" "shaggy-related protein kinase alpha" "protein phosphorylation" "BnaA09g04100D" "shaggy-related protein kinase alpha" "LOC106365872"
"106365872" "GO:0007165" "BP" "shaggy-related protein kinase alpha" "signal transduction" "BnaA09g04100D" "shaggy-related protein kinase alpha" "LOC106365872"
"106366149" NA NA NA NA "BnaA06g04320D" "histone H4" "LOC106366149"
"106366149" NA NA NA NA "BnaA04g16620D" "histone H4" "LOC106366149"
"106366149" NA NA NA NA "BnaA03g09320D" "histone H4" "LOC106366149"
"106366149" NA NA NA NA "BnaA04g21530D" "histone H4" "LOC106366149"
"106366149" NA NA NA NA "BnaC03g11650D" "histone H4" "LOC106366149"
"106366244" "GO:0031222" "BP" "beta-D-xylosidase 4" "arabinan catabolic process" "BnaA09g06900D" "beta-D-xylosidase 4" "LOC106366244"
"106366244" "GO:0045493" "BP" "beta-D-xylosidase 4" "xylan catabolic process" "BnaA09g06900D" "beta-D-xylosidase 4" "LOC106366244"
"106366259" "GO:0046855" "BP" "SAL1 phosphatase-like" "inositol phosphate dephosphorylation" "BnaA09g06680D" "SAL1 phosphatase-like" "LOC106366259"
"106366259" "GO:0000103" "BP" "SAL1 phosphatase-like" "sulfate assimilation" "BnaA09g06680D" "SAL1 phosphatase-like" "LOC106366259"
"106366485" NA NA NA NA "BnaA09g11970D" "putative cell division cycle ATPase" "LOC106366485"
"106366544" NA NA NA NA "BnaA09g12710D" "non-specific lipid transfer protein GPI-anchored 7" "LOC106366544"
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "LOC106366588"
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2"
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "aap1"
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "LOC106366588"
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2"
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "aap1"
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "LOC106366588"
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2"
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "aap1"
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "LOC106366588"
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2"
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "aap1"
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "LOC106366588"
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2"
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "aap1"
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "LOC106366588"
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2"
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "aap1"
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "LOC106366588"
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2"
"106366588" "GO:0015800" "BP" "amino acid permease 1" "acidic amino acid transport" "BnaA09g14700D" "amino acid permease 1" "aap1"
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "LOC106366588"
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2"
"106366588" "GO:0003333" "BP" "amino acid permease 1" "amino acid transmembrane transport" "BnaA09g14700D" "amino acid permease 1" "aap1"
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "LOC106366588"
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "AAP1-2"
"106366588" "GO:0015804" "BP" "amino acid permease 1" "neutral amino acid transport" "BnaA09g14700D" "amino acid permease 1" "aap1"
"106366833" "GO:0006412" "BP" "60S ribosomal protein L32-1" "translation" "BnaC07g35100D" "60S ribosomal protein L32-1" "LOC106366833"
"106366950" NA NA NA NA "BnaA04g20950D" "E3 ubiquitin-protein ligase PUB23-like" "LOC106366950"
"106366999" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106366999" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106366999"
"106367276" "GO:0015979" "BP" "photosystem I reaction center subunit psaK, chloroplastic-like" "photosynthesis" "BnaA09g26140D" "photosystem I reaction center subunit psaK, chloroplastic-like" "LOC106367276"
"106367337" "GO:0006633" "BP" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "fatty acid biosynthetic process" "BnaA09g28100D" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "gbkr1"
"106367337" "GO:0006633" "BP" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "fatty acid biosynthetic process" "BnaA09g28100D" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "LOC106367337"
"106367337" "GO:0030497" "BP" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "fatty acid elongation" "BnaA09g28100D" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "gbkr1"
"106367337" "GO:0030497" "BP" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "fatty acid elongation" "BnaA09g28100D" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "LOC106367337"
"106367337" "GO:0006633" "BP" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "fatty acid biosynthetic process" "BnaA09g28100D" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "gbkr1"
"106367337" "GO:0006633" "BP" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "fatty acid biosynthetic process" "BnaA09g28100D" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "LOC106367337"
"106367337" "GO:0030497" "BP" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "fatty acid elongation" "BnaA09g28100D" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "gbkr1"
"106367337" "GO:0030497" "BP" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "fatty acid elongation" "BnaA09g28100D" "3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic" "LOC106367337"
"106367366" NA NA NA NA "BnaA09g26480D" "calcyclin-binding protein" "LOC106367366"
"106367419" "GO:0006788" "BP" "heme oxygenase 1, chloroplastic-like" "heme oxidation" "BnaA09g27040D" "heme oxygenase 1, chloroplastic-like" "LOC106367419"
"106367419" "GO:0015979" "BP" "heme oxygenase 1, chloroplastic-like" "photosynthesis" "BnaA09g27040D" "heme oxygenase 1, chloroplastic-like" "LOC106367419"
"106367503" "GO:0035556" "BP" "CBL-interacting serine/threonine-protein kinase 7" "intracellular signal transduction" "BnaC05g29370D" "CBL-interacting serine/threonine-protein kinase 7" "LOC106367503"
"106367503" "GO:0006468" "BP" "CBL-interacting serine/threonine-protein kinase 7" "protein phosphorylation" "BnaC05g29370D" "CBL-interacting serine/threonine-protein kinase 7" "LOC106367503"
"106367694" NA NA NA NA "BnaCnng14300D" "early light-induced protein 1, chloroplastic" "LOC106367694"
"106368129" "GO:0006486" "BP" "glycosylinositol phosphorylceramide mannosyl transferase 1-like" "protein glycosylation" "BnaA09g35400D" "glycosylinositol phosphorylceramide mannosyl transferase 1-like" "LOC106368129"
"106368418" "GO:0035551" "BP" "methionine aminopeptidase 2B" "protein initiator methionine removal involved in protein maturation" "BnaA09g38240D" "methionine aminopeptidase 2B" "LOC106368418"
"106368549" "GO:0009738" "BP" "lachrymatory-factor synthase" "abscisic acid-activated signaling pathway" "BnaA09g40740D" "lachrymatory-factor synthase" "LOC106368549"
"106368808" "GO:0006094" "BP" "triosephosphate isomerase, chloroplastic" "gluconeogenesis" "BnaA09g43380D" "triosephosphate isomerase, chloroplastic" "LOC106368808"
"106368808" "GO:0046166" "BP" "triosephosphate isomerase, chloroplastic" "glyceraldehyde-3-phosphate biosynthetic process" "BnaA09g43380D" "triosephosphate isomerase, chloroplastic" "LOC106368808"
"106368808" "GO:0019563" "BP" "triosephosphate isomerase, chloroplastic" "glycerol catabolic process" "BnaA09g43380D" "triosephosphate isomerase, chloroplastic" "LOC106368808"
"106368808" "GO:0006096" "BP" "triosephosphate isomerase, chloroplastic" "glycolytic process" "BnaA09g43380D" "triosephosphate isomerase, chloroplastic" "LOC106368808"
"106369102" NA NA NA NA "BnaA09g46120D" "probable inactive purple acid phosphatase 1" "LOC106369102"
"106369105" NA NA NA NA "BnaA09g46090D" "FBD-associated F-box protein At5g27750" "LOC106369105"
"106369114" "GO:0015031" "BP" "putative SNAP25 homologous protein SNAP30" "protein transport" "BnaC08g40050D" "putative SNAP25 homologous protein SNAP30" "LOC106369114"
"106369355" "GO:0050832" "BP" "defensin-like protein 2" "defense response to fungus" "BnaA06g34320D" "defensin-like protein 2" "LOC106369355"
"106369355" "GO:0031640" "BP" "defensin-like protein 2" "killing of cells of another organism" "BnaA06g34320D" "defensin-like protein 2" "LOC106369355"
"106370144" "GO:0016036" "BP" "phosphate transporter PHO1 homolog 9-like" "cellular response to phosphate starvation" "BnaA02g29650D" "phosphate transporter PHO1 homolog 9-like" "LOC106370144"
"106370144" "GO:0006817" "BP" "phosphate transporter PHO1 homolog 9-like" "phosphate ion transport" "BnaA02g29650D" "phosphate transporter PHO1 homolog 9-like" "LOC106370144"
"106370155" "GO:0002182" "BP" "60S acidic ribosomal protein P2-3-like" "cytoplasmic translational elongation" "BnaA02g29320D" "60S acidic ribosomal protein P2-3-like" "LOC106370155"
"106370445" "GO:0043086" "BP" "cell wall / vacuolar inhibitor of fructosidase 2" "negative regulation of catalytic activity" "BnaA09g06930D" "cell wall / vacuolar inhibitor of fructosidase 2" "LOC106370445"
"106370538" "GO:0006753" "BP" "nudix hydrolase 25-like" "nucleoside phosphate metabolic process" "BnaCnng42410D" "nudix hydrolase 25-like" "LOC106370538"
"106370538" "GO:0019693" "BP" "nudix hydrolase 25-like" "ribose phosphate metabolic process" "BnaCnng42410D" "nudix hydrolase 25-like" "LOC106370538"
"106370625" NA NA NA NA "BnaCnng61420D" "uncharacterized BNACNNG61420D" "BNACNNG61420D"
"106370637" NA NA NA NA "BnaA10g30030D" "uncharacterized BNAC09G44150D" "BNAA10G30030D"
"106370637" NA NA NA NA "BnaA10g30030D" "uncharacterized BNAC09G44150D" "BNAC09G44150D"
"106370758" NA NA NA NA "BnaC01g22560D" "uncharacterized BNAC01G22560D" "BNAC01G22560D"
"106370811" NA NA NA NA "BnaC02g30060D" "uncharacterized BNAC02G30060D" "BNAC02G30060D"
